execution,points,h,w,CS_of,CS_time
2,13206,4,18,526.58336,3575.23
3,13206,4,18,528.84723,3579.1
4,13206,4,18,528.2639,3583.97
5,13206,4,18,527.55559,3583.15
6,13206,4,18,530.33334,3594.39
7,13206,4,18,531.48613,3562.19
8,13206,4,18,528.80558,3584.09
9,13206,4,18,528.84725,3574.68
10,13206,4,18,529.63892,3577.41
1,13206,4,21,747.70232,3559.46
2,13206,4,21,750.52374,3595.31
3,13206,4,21,748.70233,3556.22
4,13206,4,21,754.26185,3584.76
5,13206,4,21,751.97614,3586.4
6,13206,4,21,750.96424,3594.01
7,13206,4,21,751.58331,3581.59
8,13206,4,21,752.33328,3568.23
9,13206,4,21,751.85707,3593.54
10,13206,4,21,755.46424,3599.68
1,13206,4,24,998.83336,3594.81
2,13206,4,24,997.4063,3592.36
3,13206,4,24,998.60419,3578.28
4,13206,4,24,1004.88547,3583.26
5,13206,4,24,1005.96882,3596.41
6,13206,4,24,1007.31255,3538.84
7,13206,4,24,1004.93752,3592.0
8,13206,4,24,1002.85421,3599.88
9,13206,4,24,1002.98962,3598.96
10,13206,4,24,1006.34378,3592.41
